Start;Stop;Trend_Period;V1avg;V1min;V1max;V2avg;V2min;V2max;V3avg;V3min;V3max;Vrms_N_avg;Vrms_N_min;Vrms_N_max;Vrms_L12_avg;Vrms_L12_min;Vrms_L12_max;Vrms_L23_avg;Vrms_L23_min;Vrms_L23_max;Vrms_L31_avg;Vrms_L31_min;Vrms_L31_max;I1avg;Irms_L1_min;Irms_L1_max;I2avg;Irms_L2_min;Irms_L2_max;I3avg;Irms_L3_min;Irms_L3_max;Irms_N_avg;Irms_N_min;Irms_N_max;Vrms_Effective_avg;Irms_Effective_avg;Vrms_Fundamental_L1N_avg;Vrms_Fundamental_L1N_min;Vrms_Fundamental_L1N_max;Vrms_Fundamental_L2N_avg;Vrms_Fundamental_L2N_min;Vrms_Fundamental_L2N_max;Vrms_Fundamental_L3N_avg;Vrms_Fundamental_L3N_min;Vrms_Fundamental_L3N_max;Vrms_Fundamental_N_avg;Vrms_Fundamental_N_min;Vrms_Fundamental_N_max;Vrms_Fundamental_L12_avg;Vrms_Fundamental_L12_min;Vrms_Fundamental_L12_max;Vrms_Fundamental_L23_avg;Vrms_Fundamental_L23_min;Vrms_Fundamental_L23_max;Vrms_Fundamental_L31_avg;Vrms_Fundamental_L31_min;Vrms_Fundamental_L31_max;Irms_Fundamental_L1_avg;Irms_Fundamental_L1_min;Irms_Fundamental_L1_max;Irms_Fundamental_L2_avg;Irms_Fundamental_L2_min;Irms_Fundamental_L2_max;Irms_Fundamental_L3_avg;Irms_Fundamental_L3_min;Irms_Fundamental_L3_max;Irms_Fundamental_N_avg;Irms_Fundamental_N_min;Irms_Fundamental_N_max;Vrms_Fundamental_Effective_avg;Irms_Fundamental_Effective_avg
26/3/2025 18:20;30:00.1;600;229.195;227.714;231.43;233.083;231.498;235.537;228.111;226.884;229.747;229.147;227.663;231.376;401.888;399.09;406.432;400.265;397.868;403.698;393.607;391.394;396.641;97.385;92.8075;105.097;110.654;104.34;119.251;104.896;100.177;116.9;12.1495;10.992;17.4166;230.136;104.688;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 18:30;40:00.2;600;228.738;227.546;229.992;232.822;231.698;233.903;227.635;226.309;228.978;228.692;227.497;229.95;401.299;399.263;403.615;399.775;397.717;401.75;392.592;390.373;394.775;96.7879;92.7001;109.786;112.372;107.401;132.861;110.662;102.364;135.376;14.7664;11.0207;24.3194;229.737;107.175;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 18:40;50:00.2;600;228.638;226.315;230.698;231.99;229.527;233.594;227.055;224.54;228.665;228.589;226.267;230.649;400.546;396.525;403.819;398.28;393.851;400.839;392.249;388.051;395.596;98.0372;93.3272;105.292;111.302;106.36;119.685;111.647;106.145;125.652;13.9002;11.6734;23.5626;229.234;107.483;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 18:50;00:00.2;600;229.38;227.642;230.789;232.21;231.067;233.33;227.485;225.753;228.762;229.332;227.593;230.743;401.343;398.849;403.543;398.767;396.438;400.77;393.381;390.115;395.851;99.2689;95.4713;110.746;111.335;104.049;127.223;117.479;106.496;128.492;19.8003;11.6686;23.86;229.698;110.217;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:00;10:00.2;600;229.21;227.412;231.353;232.377;230.595;234.655;227.24;225.725;228.804;229.161;227.365;231.307;401.555;398.237;405.834;398.607;395.809;401.761;392.905;389.965;395.645;97.6775;92.6535;104.968;111.468;106.179;120.499;108.933;103.731;116.256;12.7579;11.678;15.3669;229.617;106.451;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:10;20:00.2;600;229.619;228.282;230.97;233.428;232.144;234.666;227.282;225.797;228.602;229.572;228.237;230.926;403.215;400.928;405.437;399.632;397.382;401.909;392.786;390.367;394.971;95.2528;91.6418;103.129;114.331;109.701;123.034;109.102;105.359;115.275;14.1183;11.8745;16.0412;230.118;106.844;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:20;30:00.2;600;229.909;228.301;231.28;233.668;232.247;234.773;227.43;226.041;228.646;229.863;228.256;231.238;403.738;400.976;405.967;399.914;397.649;401.629;393.152;390.218;395.515;96.0113;91.1029;105.965;116.067;109.499;126.38;109.857;105.032;117.801;14.6722;11.9422;16.6297;230.344;107.971;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:30;40:00.2;600;230.148;229.228;231.002;233.761;232.746;234.851;227.656;226.623;228.883;230.103;229.182;230.963;403.977;402.382;405.59;400.152;398.441;402.278;393.645;391.677;395.346;98.3058;93.357;106.239;120.019;115.981;127.08;113.733;110.347;119.639;15.6477;13.9518;17.1033;230.53;111.428;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:40;50:00.2;600;227.967;223.619;230.333;233.011;229.365;235.326;225.088;219.928;227.951;227.926;223.583;230.291;402.052;395.738;405.371;397.622;389.847;400.966;388.57;380.12;393.813;95.249;86.9663;106.502;125.606;115.684;145.079;115.11;105.074;127.088;18.1059;13.7709;22.0964;228.706;113.177;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 19:50;00:00.2;600;228.647;226.377;230.583;234.605;230.184;235.96;224.94;220.41;226.569;228.608;226.336;230.544;404.73;399.801;407.51;398.947;389.884;401.085;388.238;382.035;391.448;91.9824;87.304;103.414;130.908;122.786;147.59;115.419;106.49;125.56;20.4927;17.9942;23.2352;229.425;114.512;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:00;10:00.2;600;229.809;227.344;232.617;235.235;233.517;236.827;226.031;223.78;228.106;229.768;227.301;232.571;406.166;402.644;410.048;400.254;397.123;403.167;390.49;386.03;395.129;91.937;86.996;104.376;129.75;122.322;144.044;115.492;108.693;126.667;20.2831;17.0923;22.7741;230.382;114.072;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:10;20:00.2;600;229.815;213.926;230.852;235.505;228.168;236.466;226.196;219.167;227.305;229.774;213.926;230.811;406.381;384.064;408.137;400.78;392.87;402.368;390.51;368.228;392.658;90.9679;79.2366;103.081;129.818;121.417;144.679;116.576;103.358;130.612;21.2641;14.8256;29.0756;230.53;114.266;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:20;30:00.2;600;229.515;227.809;230.676;235.866;234.373;236.997;226.131;224.662;227.245;229.474;227.769;230.634;406.505;403.639;408.484;401.285;398.898;403.141;389.876;387.098;391.913;89.0407;82.5115;100.337;131.228;124.593;146.322;116.603;111.323;127.111;21.1342;19.0497;29.1563;230.533;114.298;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:30;40:00.2;600;228.805;227.113;230.577;235.518;234.238;237.658;225.388;223.79;226.38;228.764;227.073;230.536;405.708;403.291;409.693;400.461;398.287;402.744;388.381;385.138;390.217;87.0164;81.0858;97.3962;130.462;122.719;146.181;116.268;106.956;131.529;21.6149;17.8105;29.4123;229.936;113.399;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:40;50:00.2;600;230.2;228.909;231.148;236.92;235.242;238.212;226.202;224.421;227.465;230.159;228.866;231.111;408.454;405.804;410.074;402.236;399.859;404.324;390.115;387.014;392.294;86.5384;82.1959;98.6639;128.3;121.694;145.124;112.295;105.839;125.094;20.5857;17.1792;28.9859;231.143;111.031;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 20:50;00:00.2;600;230.247;219.679;231.657;236.4;225.626;237.927;226.516;216.352;228.191;230.205;219.634;231.613;407.735;393.573;410.312;401.94;379.862;404.782;390.854;375.242;393.519;87.4703;79.9408;111.629;127.466;106.855;141.864;113.089;98.1493;128.81;20.0121;14.3333;28.4819;231.084;111.188;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:00;10:00.2;600;230.184;228.758;231.461;236.798;235.058;238.42;226.464;224.92;227.878;230.143;228.72;231.417;408.148;405.73;410.599;402.399;399.282;404.882;390.471;387.66;393.02;86.9956;81.4561;96.947;127.451;120.647;145.12;113.643;107.516;128.838;20.441;11.9404;28.4699;231.182;111.273;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:10;20:00.2;600;230.912;221.937;232.448;237.614;233.248;239.233;227.403;222.45;229.111;230.871;221.916;232.405;409.397;396.687;412.018;403.994;393.846;408.729;391.922;381.511;394.695;87.0217;78.6228;97.8935;129.227;119.475;143.938;116.152;108.546;127.916;21.1781;14.8861;30.9839;232.008;112.86;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:20;30:00.2;600;231.604;229.984;232.623;237.999;236.348;239.519;228.276;226.321;230.118;231.565;229.945;232.587;410.128;407.617;412.133;404.987;401.732;408.094;393.538;390.334;396.041;87.3608;80.6118;98.7975;130.189;122.63;145.331;118.705;113.303;133.936;21.4762;19.1198;29.5412;232.651;114.212;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:30;40:00.2;600;231.969;230.29;233.47;238.151;236.765;239.745;228.867;227.291;230.131;231.931;230.248;233.432;410.381;407.755;412.908;405.63;403.393;408.097;394.56;391.613;397.464;86.6921;81.2598;97.4166;128.418;122.433;143.174;119.002;113.989;129.442;21.4917;19.2066;30.0618;233.017;113.475;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:40;50:00.2;600;232.217;230.801;233.334;238.703;237.492;239.997;229.242;227.976;230.52;232.18;230.762;233.296;411.079;408.587;412.743;406.554;404.727;408.365;394.944;392.721;397.462;86.3145;81.2893;99.0204;128.867;121.701;144.396;119.875;114.627;129.783;22.1576;18.5486;30.1298;233.407;113.898;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 21:50;00:00.2;600;232.115;230.742;233.429;238.855;237.524;239.923;229.429;228.133;230.834;232.081;230.707;233.387;411.033;409.111;412.797;406.934;405.165;408.569;394.957;392.114;397.513;86.0606;81.0831;97.1651;130.47;122.09;146.645;120.484;114.913;139.544;21.3746;18.9874;29.596;233.48;114.604;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:00;10:00.2;600;232.131;229.931;233.503;238.173;235.014;239.753;229.674;228.225;231.824;232.094;229.892;233.467;410.107;404.519;412.655;406.547;403.287;408.808;395.63;392.633;399.274;84.8171;78.7941;96.3525;124.264;110.003;143.86;120.903;112.316;133.967;23.3493;16.252;29.2693;233.342;112.247;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:10;20:00.2;600;231.674;230.215;232.969;236.989;235.365;238.704;229.653;227.87;231.039;231.637;230.171;232.932;408.275;405.771;410.952;405.336;402.269;407.801;395.83;393.06;398.245;85.0013;80.3376;95.3914;119.613;112.99;136.785;117.008;112.912;127.199;19.3212;16.8015;21.6235;232.785;108.929;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:20;30:00.2;600;231.603;228.914;235.405;234.603;230.554;238.494;228.833;223.324;232.192;231.558;228.876;235.357;405.942;401.324;412.187;401.638;392.163;407.954;396.207;389.12;402.52;93.0306;82.3458;105.465;114.299;99.9385;129.709;110.26;104.465;123.211;15.8092;12.5377;20.4339;231.686;106.655;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:30;40:00.2;600;230.197;228.008;232.937;233.14;230.932;235.913;228.159;226.186;230.834;230.151;227.964;232.89;403.033;398.963;408.045;399.967;396.468;404.392;394.651;391.16;399.429;93.8628;89.3824;105.562;112.504;105.342;128.337;111.54;106.342;122.458;15.1317;12.6143;16.6862;230.502;106.673;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:40;50:00.2;600;230.247;228.634;231.872;233.111;231.587;234.312;229.012;227.375;230.366;230.201;228.584;231.826;402.568;399.869;405.095;400.881;398.123;403.196;395.711;392.855;398.632;93.3674;88.2452;107.251;109.119;102.372;129.485;114.167;108.854;129.353;15.2527;11.9343;24.559;230.79;106.288;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 22:50;00:00.2;600;231.817;230.554;233.136;234.32;233.035;235.781;230.364;228.814;231.854;231.77;230.504;233.086;404.998;402.973;407.554;402.948;400.798;405.507;398.381;395.74;400.666;94.8098;90.2556;109.591;107.422;100.626;127.744;113.199;105.759;129.621;15.0165;11.5799;24.3393;232.168;105.779;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:00;10:00.2;600;232.699;231.305;234.134;234.752;233.533;236.023;230.827;229.608;232.113;232.651;231.255;234.083;406.247;404.002;408.617;403.471;401.526;405.716;399.682;397.244;402.116;98.2956;92.0501;109.008;108.781;100.773;123.331;114.078;105.209;130.163;15.2058;11.6238;24.1859;232.76;107.611;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:10;20:00.2;600;231.094;228.237;233.916;232.711;230.59;234.831;228.841;226.83;230.97;231.044;228.184;233.862;403.18;398.61;407.926;399.742;396.537;403.278;396.729;392.351;400.839;100.67;94.3889;112.024;110.804;105.9;125.783;113.969;106.441;135.889;14.8078;11.6429;24.5794;230.883;108.965;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:20;30:00.2;600;228.897;227.628;230.129;231.383;230.227;232.395;227.599;226.185;228.602;228.851;227.585;230.083;399.823;397.777;401.732;398.042;395.998;399.831;393.519;391.173;395.512;98.2921;93.2907;108.916;111.81;106.869;124.842;118.183;113.144;135.275;16.031;12.6455;24.9967;229.293;110.132;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:30;40:00.2;600;230.128;228.558;232.63;232.406;230.819;234.485;228.946;227.21;231.615;230.082;228.512;232.59;401.646;398.917;405.317;400.091;397.347;404.338;395.905;392.906;400.745;91.1732;56.7746;111.514;99.8699;51.1694;125.885;106.775;52.6123;132.77;15.2447;11.3336;24.3387;230.494;99.8661;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:40;50:00.2;600;231.502;230.263;233.141;233.427;232.126;234.739;229.983;228.818;231.513;231.452;230.212;233.088;403.831;401.599;406.427;401.646;399.526;404.238;398.111;396.042;401.062;100.775;95.9399;111.328;109.005;102.798;124.356;114.884;109.363;133.582;13.8522;11.5909;23.5992;231.638;108.671;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
26/3/2025 23:50;00:00.2;600;232.032;230.568;233.142;234.237;232.971;235.282;230.87;229.464;232.222;231.982;230.519;233.091;404.855;402.596;406.848;403.321;401.365;405.587;399.262;397.012;401.533;99.6324;95.9825;110.555;107.632;101.892;123.431;116.513;110.415;130.771;15.1447;11.5252;24.0899;232.38;108.498;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
27/3/2025 00:00;10:00.2;600;232.259;230.14;233.503;234.005;231.923;235.533;230.842;228.646;232.197;232.207;230.089;233.448;404.872;401.296;407.296;402.885;399.156;405.619;399.647;395.882;401.829;100.947;96.543;113.615;105.95;99.7196;120.63;114.241;108.72;130.624;13.7596;11.5107;23.3147;232.37;107.48;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
27/3/2025 00:10;20:00.2;600;232.34;231.23;233.097;233.872;232.886;234.529;230.975;230.045;231.653;232.287;231.181;233.045;404.741;403.057;405.92;402.823;401.081;403.979;399.988;398.052;401.27;101.326;97.8505;112.066;104.588;100.228;119.594;112.624;107.699;123.416;12.5588;11.4576;22.5171;232.398;106.532;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
27/3/2025 00:20;30:00.2;600;232.179;231.224;233.031;233.487;232.349;234.312;230.808;229.722;231.791;232.126;231.168;232.979;404.194;402.396;405.655;402.312;400.527;403.87;399.816;398.003;401.497;101.993;98.4595;116.152;103.433;97.6344;123.936;112.92;106.527;132.706;13.9591;11.5058;22.3706;232.16;106.531;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
27/3/2025 00:30;40:00.2;600;232.171;231.004;233.824;233.385;232.27;234.903;230.896;229.734;232.285;232.118;230.95;233.767;404.026;401.73;406.921;402.274;400.469;404.57;399.985;397.913;402.71;101.76;96.6576;113.051;101.764;96.4457;117.229;110.83;106.806;127.601;12.7844;11.0966;22.1601;232.152;105.131;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
