tiempo;Voltage_L1;Voltage_L2;Voltage_L3;Voltage_N;Current_L1;Current_L2;Current_L3;Current_N
0;196.386;115.237;-311.592;-196.365;112.896;2.99135;-107.816;-0.164617
0.0000125;195.76;116.719;-311.707;-195.439;112.328;3.63773;-108.003;-0.0823086
0.000025;194.859;118.201;-311.871;-194.786;111.69;4.23525;-108.151;0.0828328
0.0000375;193.645;119.531;-312.342;-193.606;111.092;4.78015;-108.255;0.184015
0.00005;192.295;120.668;-312.361;-191.519;110.532;5.3213;-108.372;0.266323
0.0000625;190.797;121.788;-312.361;-189.92;110.019;5.85494;-108.449;0.32137
0.000075;189.515;123.129;-311.746;-188.974;109.559;6.38105;-108.583;0.386378
0.0000875;188.331;124.538;-310.688;-187.668;109.162;6.87335;-108.96;0.612858
0.0001;187.146;125.79;-309.63;-186.108;108.792;7.37316;-109.492;1.01444
0.0001125;185.619;126.764;-309.322;-184.811;108.508;7.88425;-110.094;1.43857
0.000125;184.533;127.628;-309.601;-184.138;108.215;8.43291;-110.695;1.76465
0.0001375;183.476;128.89;-309.524;-183.29;107.901;8.99285;-111.289;2.16309
0.00015;182.536;129.911;-310.524;-182.841;107.569;9.534;-111.808;2.44514
0.0001625;181.685;131.021;-311.495;-181.808;107.16;10.0977;-112.153;2.56467
0.000175;180.657;132.346;-312.294;-180.618;106.768;10.6276;-112.34;2.68735
0.0001875;180.187;133.677;-313.024;-179.994;106.2;11.1236;-112.423;2.7209
0.0002;179.375;135.358;-312.649;-178.015;105.605;11.5896;-112.496;2.90806
0.0002125;178.396;136.552;-312.621;-177.03;105.011;12.0368;-112.592;3.22419
0.000225;177.251;137.583;-312.765;-176.591;104.357;12.4803;-112.696;3.44385
0.0002375;176.105;138.741;-312.351;-175.255;103.767;12.9387;-112.876;3.73062
0.00025;175.362;139.778;-312.274;-174.388;103.082;13.4423;-113.069;4.11438
0.0002625;174.285;140.726;-312.765;-173.744;102.414;13.9647;-113.183;4.39433
0.000275;173.365;141.49;-313.697;-173.149;101.687;14.5697;-113.246;4.5254
0.0002875;172.758;142.574;-314.457;-172.34;100.834;15.171;-113.159;4.64493
0.0003;172.337;143.946;-315.072;-171.814;99.9167;15.7347;-112.955;4.77704
0.0003125;171.896;145.187;-315.612;-171.045;98.8365;16.318;-112.678;4.87724
0.000325;171.209;146.529;-315.921;-170.314;97.6752;16.8686;-112.286;5.10609
0.0003375;170.443;147.496;-316.423;-170.387;96.4143;17.4465;-111.867;5.29538
0.00035;169.62;148.472;-316.317;-169.484;95.1354;18.0608;-111.466;5.44181
0.0003625;168.869;149.36;-316.095;-168.174;93.7871;18.7434;-111.101;5.70833
0.000375;167.946;150.04;-315.989;-167.057;92.3724;19.4897;-110.76;5.94376
0.0003875;166.886;150.968;-315.912;-166.128;90.991;20.286;-110.422;6.19567
0.0004;166.115;152.063;-315.892;-165.84;89.528;21.137;-110.176;6.45465
0.0004125;165.496;153.67;-315.284;-165.057;88.0018;21.9333;-109.985;6.89397
0.000425;164.641;155.258;-314.946;-164.692;86.4242;22.6841;-109.807;7.54706
0.0004375;162.999;156.472;-314.743;-164.05;84.913;23.3849;-109.771;8.14271
0.00045;161.126;157.557;-313.913;-161.529;83.5406;24.0948;-109.871;8.75625
0.0004625;159.033;158.425;-313.082;-158.856;82.2858;24.8866;-110.067;9.38957
0.000475;156.641;158.81;-312.541;-156.721;81.2783;25.8012;-110.349;9.78745
0.0004875;154.411;159.618;-311.537;-154.508;80.4669;26.7477;-110.828;10.0657
0.0005;152.182;160.832;-310.291;-152.039;79.8516;27.6988;-111.548;10.4066
0.0005125;149.989;161.996;-309.229;-149.455;79.4112;28.7044;-112.423;10.7221
0.000525;147.702;163.199;-308.215;-147.09;79.1548;29.6646;-113.462;11.0338
0.0005375;145.262;164.323;-307.307;-144.845;79.1156;30.6384;-114.655;11.3484
0.00055;142.471;165.29;-306.892;-142.726;79.3388;31.6167;-116.004;11.4779
0.0005625;139.911;166.138;-306.66;-140.127;79.7973;32.6269;-117.408;11.3691
0.000575;137.44;167.312;-306.081;-137.068;80.4881;33.6735;-118.875;11.1883
0.0005875;135.174;168.407;-306.207;-134.745;81.3537;34.6883;-120.401;10.8365
0.0006;133.102;169.63;-306.1;-132.15;82.2979;35.7076;-121.914;10.3214
0.0006125;130.956;170.932;-306.149;-130.161;83.4561;36.6905;-123.422;9.77521
0.000625;129.43;172.027;-306.815;-128.82;84.6385;37.6871;-124.839;9.02747
0.0006375;127.893;173.438;-306.409;-126.628;85.833;38.6563;-126.288;8.29339
0.00065;126.387;174.888;-306.738;-125.155;87.118;39.5391;-127.705;7.58709
0.0006625;124.761;176.111;-307.24;-123.929;88.421;40.4538;-128.986;6.70374
0.000675;123.239;177.521;-307.587;-122.478;89.7723;41.3456;-130.257;5.78649
0.0006875;122.216;179.169;-308.157;-121.225;91.0694;42.1238;-131.423;4.88242
0.0007;121.131;180.56;-308.486;-119.972;92.3543;42.8974;-132.499;3.95058
0.0007125;120.328;182.305;-309.123;-118.897;93.5458;43.5936;-133.469;3.06582
0.000725;119.552;184.268;-309.615;-118.333;94.6468;44.1669;-134.285;2.30301
0.0007375;119.163;185.876;-310.233;-118.923;95.615;44.6993;-135;1.60048
0.00075;119.132;187.543;-310.658;-119.111;96.3751;45.1817;-135.661;1.01566
0.0007625;119.148;189.269;-310.852;-118.646;96.9724;45.5457;-136.312;0.635671
0.000775;119.048;190.887;-311.286;-118.182;97.2861;45.8779;-136.818;0.454858
0.0007875;118.382;192.248;-311.836;-117.519;97.5032;46.2374;-137.151;0.338554
0.0008;117.988;193.245;-312.406;-117.633;97.6179;46.5696;-137.511;0.182697
0.0008125;117.883;195.01;-312.493;-117.231;97.5093;46.8699;-137.843;0.148323
0.000825;117.569;196.983;-312.57;-116.652;97.2649;47.0838;-138.017;0.42896
0.0008375;117.159;197.831;-313.411;-117.19;96.8577;47.3295;-138.039;0.698296
0.00085;116.892;198.976;-313.642;-116.918;96.2997;47.5889;-138.135;0.909245
0.0008625;116.734;200.573;-313.662;-116.25;95.5607;47.7618;-138.222;1.38718
0.000875;116.504;201.826;-314.067;-116.323;94.6317;48.0166;-138.076;1.97246
0.0008875;115.769;202.891;-314.299;-115.754;93.6061;48.276;-137.939;2.53138
0.0009;114.893;203.7;-314.82;-114.909;92.5112;48.5718;-137.839;3.04745
0.0009125;114.174;204.667;-314.917;-114.037;91.3348;48.9404;-137.625;3.55693
0.000925;113.435;205.939;-314.531;-112.977;90.074;49.3226;-137.392;4.17189
0.0009375;112.569;206.896;-314.424;-112.252;88.7347;49.7458;-137.228;4.83487
0.00095;111.221;207.676;-314.695;-111.542;87.4136;50.2145;-137.055;5.41874
0.0009625;110.245;208.613;-314.859;-110.832;86.0472;50.7697;-136.836;5.94847
0.000975;109.306;209.806;-314.618;-109.313;84.5903;51.3066;-136.704;6.5055
0.0009875;107.926;211.029;-314.618;-107.601;83.1696;51.8709;-136.531;7.06913
0.001;106.342;211.986;-315.014;-106.713;81.8032;52.4807;-136.212;7.55036
0.0010125;104.947;213.18;-315.332;-105.873;80.4519;53.0449;-135.952;7.87855
0.001025;103.908;214.748;-315.004;-104.014;79.0885;53.5773;-135.77;8.26278
0.0010375;102.423;216.346;-314.569;-101.728;77.7643;54.0915;-135.511;8.80663
0.00105;100.608;217.697;-314.907;-100.418;76.5276;54.5648;-135.182;9.27562
0.0010625;98.494;218.782;-315.487;-98.977;75.3965;54.988;-134.863;9.50399
0.001075;96.81;220.055;-315.477;-97.0195;74.3347;55.4157;-134.549;9.64101
0.0010875;95.2362;221.643;-315.381;-94.8636;73.3665;55.7752;-134.18;9.80864
0.0011;93.2217;222.846;-315.448;-92.9896;72.5309;56.1301;-133.765;9.86609
0.0011125;91.3856;224.099;-315.699;-91.5907;71.7829;56.4714;-133.374;9.80581
0.001125;89.859;225.766;-315.342;-90.1813;71.1042;56.7172;-133.032;9.75967
0.0011375;88.5528;227.433;-314.927;-88.6622;70.4346;56.931;-132.704;9.83925
0.00115;86.7901;228.597;-315.158;-86.9657;69.8434;57.0857;-132.307;9.85149
0.0011625;84.912;229.327;-315.255;-85.097;69.3547;57.2905;-131.988;9.67444
0.001175;83.055;230.56;-315.245;-82.6696;68.9626;57.4998;-131.637;9.43571
0.0011875;81.5126;231.665;-314.724;-81.0932;68.6187;57.7137;-131.282;9.19416
0.0012;80.07;232.957;-314.415;-79.9813;68.3081;57.9412;-131.018;8.93895
0.0012125;78.5591;234.308;-314.096;-78.4362;68.0879;58.096;-130.795;8.68845
0.001225;76.8332;235.462;-314.019;-76.5257;67.8948;58.2416;-130.571;8.46243
0.0012375;75.1125;236.212;-314.067;-75.1162;67.7742;58.4782;-130.252;8.12435
0.00125;73.8115;236.754;-314.009;-73.9156;67.6626;58.7831;-130.029;7.61393
0.0012625;72.3636;237.899;-313.613;-71.9686;67.5811;59.047;-129.924;7.12328
0.001275;71.2252;239.072;-313.314;-70.841;67.5087;59.361;-129.687;6.7028
0.0012875;70.0501;240.276;-312.725;-69.9067;67.4032;59.7114;-129.496;6.33411
0.0013;69.0009;241.499;-312.252;-68.9462;67.2765;59.989;-129.523;6.06383
0.0013125;67.9989;242.357;-312.068;-68.0744;67.1015;60.3211;-129.487;5.81804
0.001325;66.7818;243.403;-311.634;-66.5397;66.9145;60.6852;-129.482;5.61557
0.0013375;65.528;244.192;-311.875;-65.1878;66.7185;61.0538;-129.437;5.37354
0.00135;64.4316;244.922;-311.836;-64.6135;66.4892;61.5407;-129.355;5.02227
0.0013625;63.7234;246.313;-311.74;-64.0602;66.1846;61.9548;-129.3;4.77224
0.001375;63.0571;247.309;-311.537;-63.0528;65.7683;62.3734;-129.254;4.58578
0.0013875;61.8558;248.798;-311.421;-60.9647;65.334;62.7556;-129.159;4.45158
