tiempo;VA;VB;VC
0;196.386;115.237;-311.592
0.0000125;195.76;116.719;-311.707
0.000025;194.859;118.201;-311.871
0.0000375;193.645;119.531;-312.342
0.00005;192.295;120.668;-312.361
0.0000625;190.797;121.788;-312.361
0.000075;189.515;123.129;-311.746
0.0000875;188.331;124.538;-310.688
0.0001;187.146;125.79;-309.63
0.0001125;185.619;126.764;-309.322
0.000125;184.533;127.628;-309.601
0.0001375;183.476;128.89;-309.524
0.00015;182.536;129.911;-310.524
0.0001625;181.685;131.021;-311.495
0.000175;180.657;132.346;-312.294
0.0001875;180.187;133.677;-313.024
0.0002;179.375;135.358;-312.649
0.0002125;178.396;136.552;-312.621
0.000225;177.251;137.583;-312.765
0.0002375;176.105;138.741;-312.351
0.00025;175.362;139.778;-312.274
0.0002625;174.285;140.726;-312.765
0.000275;173.365;141.49;-313.697
0.0002875;172.758;142.574;-314.457
0.0003;172.337;143.946;-315.072
0.0003125;171.896;145.187;-315.612
0.000325;171.209;146.529;-315.921
0.0003375;170.443;147.496;-316.423
0.00035;169.62;148.472;-316.317
0.0003625;168.869;149.36;-316.095
0.000375;167.946;150.04;-315.989
0.0003875;166.886;150.968;-315.912
0.0004;166.115;152.063;-315.892
0.0004125;165.496;153.67;-315.284
0.000425;164.641;155.258;-314.946
0.0004375;162.999;156.472;-314.743
0.00045;161.126;157.557;-313.913
0.0004625;159.033;158.425;-313.082
0.000475;156.641;158.81;-312.541
0.0004875;154.411;159.618;-311.537
0.0005;152.182;160.832;-310.291
0.0005125;149.989;161.996;-309.229
0.000525;147.702;163.199;-308.215
0.0005375;145.262;164.323;-307.307
0.00055;142.471;165.29;-306.892
0.0005625;139.911;166.138;-306.66
0.000575;137.44;167.312;-306.081
0.0005875;135.174;168.407;-306.207
0.0006;133.102;169.63;-306.1
0.0006125;130.956;170.932;-306.149
0.000625;129.43;172.027;-306.815
0.0006375;127.893;173.438;-306.409
0.00065;126.387;174.888;-306.738
0.0006625;124.761;176.111;-307.24
0.000675;123.239;177.521;-307.587
0.0006875;122.216;179.169;-308.157
0.0007;121.131;180.56;-308.486
0.0007125;120.328;182.305;-309.123
0.000725;119.552;184.268;-309.615
0.0007375;119.163;185.876;-310.233
0.00075;119.132;187.543;-310.658
0.0007625;119.148;189.269;-310.852
0.000775;119.048;190.887;-311.286
0.0007875;118.382;192.248;-311.836
0.0008;117.988;193.245;-312.406
0.0008125;117.883;195.01;-312.493
0.000825;117.569;196.983;-312.57
0.0008375;117.159;197.831;-313.411
0.00085;116.892;198.976;-313.642
0.0008625;116.734;200.573;-313.662
0.000875;116.504;201.826;-314.067
0.0008875;115.769;202.891;-314.299
0.0009;114.893;203.7;-314.82
0.0009125;114.174;204.667;-314.917
0.000925;113.435;205.939;-314.531
0.0009375;112.569;206.896;-314.424
0.00095;111.221;207.676;-314.695
0.0009625;110.245;208.613;-314.859
0.000975;109.306;209.806;-314.618
0.0009875;107.926;211.029;-314.618
0.001;106.342;211.986;-315.014
0.0010125;104.947;213.18;-315.332
0.001025;103.908;214.748;-315.004
0.0010375;102.423;216.346;-314.569
0.00105;100.608;217.697;-314.907
0.0010625;98.494;218.782;-315.487
0.001075;96.81;220.055;-315.477
